Date,Close,1d_abs,1d_dir,2d_abs,1d_cls,2d_cls,3d_cls,4d_cls,5d_cls,6d_cls,7d_cls,8d_cls,9d_cls,10d_cls,50d_ma,100d_ma,200d_ma,future_price
2011-05-13,20.12,-0.23000000000000043,0,-0.259999999999998,20.35,20.38,20.63,20.76,20.79,20.73,20.95,20.75,20.63,20.83,20.601400000000016,21.408599999999996,20.825550000000003,23.47
2011-05-16,19.75,-0.370000000000001,0,-0.6000000000000014,20.12,20.35,20.38,20.63,20.76,20.79,20.73,20.95,20.75,20.63,20.579200000000018,21.3818,20.82235,23.34
2011-05-17,19.84,0.08999999999999986,1,-0.28000000000000114,19.75,20.12,20.35,20.38,20.63,20.76,20.79,20.73,20.95,20.75,20.562600000000018,21.354899999999997,20.81755,23.33
2011-05-18,19.98,0.14000000000000057,1,0.23000000000000043,19.84,19.75,20.12,20.35,20.38,20.63,20.76,20.79,20.73,20.95,20.545600000000018,21.328599999999998,20.8141,23.6
2011-05-19,20.0,0.019999999999999574,1,0.16000000000000014,19.98,19.84,19.75,20.12,20.35,20.38,20.63,20.76,20.79,20.73,20.52940000000002,21.304299999999998,20.81245,23.88
2011-05-20,19.81,-0.19000000000000128,0,-0.1700000000000017,20.0,19.98,19.84,19.75,20.12,20.35,20.38,20.63,20.76,20.79,20.517200000000017,21.278599999999997,20.811300000000003,24.7
2011-05-23,19.56,-0.25,0,-0.4400000000000013,19.81,20.0,19.98,19.84,19.75,20.12,20.35,20.38,20.63,20.76,20.495600000000014,21.2507,20.808200000000003,24.68
2011-05-24,19.54,-0.019999999999999574,0,-0.2699999999999996,19.56,19.81,20.0,19.98,19.84,19.75,20.12,20.35,20.38,20.63,20.473400000000012,21.223599999999998,20.804750000000002,24.79
2011-05-25,19.57,0.030000000000001137,1,0.010000000000001563,19.54,19.56,19.81,20.0,19.98,19.84,19.75,20.12,20.35,20.38,20.456600000000016,21.196299999999997,20.803600000000003,24.98
2011-05-26,19.96,0.39000000000000057,1,0.4200000000000017,19.57,19.54,19.56,19.81,20.0,19.98,19.84,19.75,20.12,20.35,20.457200000000014,21.172299999999996,20.8052,24.33
2011-05-27,20.03,0.07000000000000028,1,0.46000000000000085,19.96,19.57,19.54,19.56,19.81,20.0,19.98,19.84,19.75,20.12,20.459400000000016,21.1481,20.8086,24.1
2011-05-31,20.23,0.1999999999999993,1,0.2699999999999996,20.03,19.96,19.57,19.54,19.56,19.81,20.0,19.98,19.84,19.75,20.465400000000017,21.1267,20.813349999999996,24.12
2011-06-01,19.77,-0.46000000000000085,0,-0.26000000000000156,20.23,20.03,19.96,19.57,19.54,19.56,19.81,20.0,19.98,19.84,20.453600000000016,21.094099999999997,20.815449999999995,23.61
2011-06-02,19.6,-0.16999999999999815,0,-0.629999999999999,19.77,20.23,20.03,19.96,19.57,19.54,19.56,19.81,20.0,19.98,20.43880000000002,21.0616,20.81535,22.85
2011-06-03,19.34,-0.26000000000000156,0,-0.4299999999999997,19.6,19.77,20.23,20.03,19.96,19.57,19.54,19.56,19.81,20.0,20.415000000000017,21.0295,20.813499999999998,22.64
2011-06-06,19.43,0.08999999999999986,1,-0.1700000000000017,19.34,19.6,19.77,20.23,20.03,19.96,19.57,19.54,19.56,19.81,20.388600000000018,20.999199999999995,20.8136,22.49
2011-06-07,19.47,0.03999999999999915,1,0.129999999999999,19.43,19.34,19.6,19.77,20.23,20.03,19.96,19.57,19.54,19.56,20.36620000000002,20.965799999999994,20.814750000000004,22.37
2011-06-08,19.37,-0.09999999999999787,0,-0.05999999999999872,19.47,19.43,19.34,19.6,19.77,20.23,20.03,19.96,19.57,19.54,20.34520000000002,20.93419999999999,20.815200000000004,22.55
2011-06-09,19.39,0.019999999999999574,1,-0.0799999999999983,19.37,19.47,19.43,19.34,19.6,19.77,20.23,20.03,19.96,19.57,20.32320000000002,20.90199999999999,20.816700000000004,22.53
2011-06-10,19.18,-0.21000000000000085,0,-0.19000000000000128,19.39,19.37,19.47,19.43,19.34,19.6,19.77,20.23,20.03,19.96,20.29500000000002,20.86479999999999,20.816900000000004,22.73
2011-06-13,19.45,0.2699999999999996,1,0.05999999999999872,19.18,19.39,19.37,19.47,19.43,19.34,19.6,19.77,20.23,20.03,20.275800000000018,20.831799999999983,20.819550000000003,23.37
2011-06-14,19.6,0.15000000000000213,1,0.4200000000000017,19.45,19.18,19.39,19.37,19.47,19.43,19.34,19.6,19.77,20.23,20.25820000000002,20.801299999999983,20.822500000000005,23.1
2011-06-15,19.21,-0.39000000000000057,0,-0.23999999999999844,19.6,19.45,19.18,19.39,19.37,19.47,19.43,19.34,19.6,19.77,20.23160000000002,20.769499999999983,20.824700000000004,22.84
2011-06-16,19.42,0.21000000000000085,1,-0.17999999999999972,19.21,19.6,19.45,19.18,19.39,19.37,19.47,19.43,19.34,19.6,20.20560000000002,20.736899999999988,20.8286,23.08
2011-06-17,19.63,0.2099999999999973,1,0.41999999999999815,19.42,19.21,19.6,19.45,19.18,19.39,19.37,19.47,19.43,19.34,20.177800000000026,20.70589999999999,20.831850000000003,22.73
2011-06-20,19.8,0.1700000000000017,1,0.379999999999999,19.63,19.42,19.21,19.6,19.45,19.18,19.39,19.37,19.47,19.43,20.152600000000024,20.67389999999999,20.835800000000003,22.45
2011-06-21,20.03,0.23000000000000043,1,0.40000000000000213,19.8,19.63,19.42,19.21,19.6,19.45,19.18,19.39,19.37,19.47,20.134000000000025,20.64349999999999,20.8395,22.29
2011-06-22,19.94,-0.08999999999999986,0,0.14000000000000057,20.03,19.8,19.63,19.42,19.21,19.6,19.45,19.18,19.39,19.37,20.115200000000026,20.62119999999999,20.844050000000003,22.24
2011-06-23,19.93,-0.010000000000001563,0,-0.10000000000000142,19.94,20.03,19.8,19.63,19.42,19.21,19.6,19.45,19.18,19.39,20.101600000000023,20.59889999999999,20.848650000000003,22.5
